time,open,high,low,close,MA,MA,Histogram,MACD,Signal
1279411200,0.05941,0.08585,0.05941,0.08584,NaN,NaN,NaN,NaN,NaN
1279497600,0.0909,0.09307,0.07890538,0.0808,NaN,NaN,NaN,NaN,NaN
1279584000,0.08181,0.08181,0.07426,0.07473333,NaN,NaN,NaN,NaN,NaN
1279670400,0.07425,0.07921,0.06634,0.07921,NaN,NaN,NaN,NaN,NaN
1279756800,0.07921,0.0808,0.05446,0.054955,NaN,NaN,NaN,NaN,NaN
1279843200,0.0505,0.06767,0.0505,0.06241388,NaN,NaN,NaN,NaN,NaN
1279929600,0.06161,0.06161,0.05081677,0.05454,NaN,NaN,NaN,NaN,NaN
1280016000,0.05545,0.05941,0.0505,0.0505,NaN,NaN,NaN,NaN,NaN
1280102400,0.05,0.056,0.05,0.056,NaN,NaN,NaN,NaN,NaN
1280188800,0.0544875,0.05976298,0.0544875,0.05976298,NaN,NaN,NaN,NaN,NaN
1280275200,0.06,0.06147387,0.054,0.0589,NaN,NaN,NaN,NaN,NaN
1280361600,0.0597,0.0699,0.0571,0.06986257,NaN,NaN,NaN,NaN,NaN
1280448000,0.0698,0.0698,0.06,0.06346087,NaN,NaN,NaN,NaN,NaN
1280534400,0.06016324,0.06889,0.056,0.06785,NaN,NaN,NaN,NaN,NaN
1280620800,0.06011837,0.065,0.06,0.0611,NaN,NaN,NaN,NaN,NaN
1280707200,0.06262195,0.0633,0.06010568,0.06010568,NaN,NaN,NaN,NaN,NaN
1280793600,0.06,0.065,0.059,0.06,NaN,NaN,NaN,NaN,NaN
1280880000,0.0622959,0.0623,0.05728249,0.05728249,NaN,NaN,NaN,NaN,NaN
1280966400,0.0581,0.061,0.058,0.061,NaN,NaN,NaN,NaN,NaN
1281052800,0.06233333,0.0624,0.0607,0.06215714,NaN,NaN,NaN,NaN,NaN
1281139200,0.0608,0.0622,0.059,0.059,NaN,NaN,NaN,NaN,NaN
1281225600,0.059,0.0609,0.059,0.0609,NaN,NaN,NaN,NaN,NaN
1281312000,0.05952739,0.07176087,0.05952739,0.0707,NaN,NaN,NaN,NaN,NaN
1281398400,0.068,0.0709,0.06684251,0.07,NaN,NaN,NaN,NaN,NaN
1281484800,0.06,0.07541,0.06,0.067,NaN,NaN,NaN,NaN,NaN
1281571200,0.068,0.07,0.06395362,0.07,NaN,NaN,NaN,0.000867184166069554,NaN
1281657600,0.06529438,0.06791389,0.0645,0.0645,NaN,NaN,NaN,0.0007304762010069132,NaN
1281744000,0.0655,0.06904602,0.06499996,0.067,NaN,NaN,NaN,0.0008144745052910823,NaN
1281830400,0.067,0.067,0.065,0.06529,NaN,NaN,NaN,0.0007345931253964627,NaN
1281916800,0.06319,0.0679,0.062275,0.0655,NaN,NaN,NaN,0.0006803887038220741,NaN
1282003200,0.0655,0.07638,0.06243,0.07,NaN,NaN,NaN,0.000989141493713111,NaN
1282089600,0.07111775,0.0733,0.067,0.068,NaN,NaN,NaN,0.0010602254003945488,NaN
1282176000,0.06789998,0.06789998,0.0667,0.0667,NaN,NaN,NaN,0.0010001318754253724,NaN
1282262400,0.0667,0.0667,0.065,0.0655,NaN,NaN,-0.000012134124442607494,0.0008459260438919564,0.0008580601683345639
1282348800,0.065496,0.06670549,0.0644,0.0664,NaN,NaN,-0.00005663677612902768,0.0007872641981732792,0.0008439009743023069
1282435200,0.06470633,0.066,0.0612,0.066,NaN,NaN,-0.00011478193227719132,0.0007004235589558178,0.0008152054912330091
1282521600,0.06525,0.06689,0.06409,0.06491,NaN,NaN,-0.00022220245754967828,0.0005374524192959113,0.0007596548768455895
1282608000,0.06491,0.0665,0.06491,0.065,NaN,NaN,-0.00027906538047542547,0.00041082315125130775,0.0006898885317267332
1282694400,0.06636748,0.06646416,0.0641,0.0648,NaN,NaN,-0.0003191300053883696,0.0002909760249912713,0.0006101060303796409
1282780800,0.064804,0.06579835,0.064,0.064,NaN,NaN,-0.0003841287651573643,0.00012994507393293553,0.0005140738390902998
1282867200,0.064,0.065,0.063,0.065,NaN,NaN,-0.0003456011131783611,0.00008207244761734844,0.00042767356079570956
1282953600,0.06479855,0.06495301,0.0645,0.06459825,NaN,NaN,-0.0003328735105478301,0.000011581672610921911,0.000344455183158752
1283040000,0.0647,0.0647,0.064,0.064,NaN,NaN,-0.00034876556585640667,-0.00009150177416175631,0.00025726379169465035
1283126400,0.0646,0.06511738,0.03211,0.06497,NaN,NaN,-0.00028088582195200573,-0.00009384348574535684,0.0001870423362066489
1283212800,0.06411,0.06456398,0.06,0.06,NaN,NaN,-0.000542494633043104,-0.000491075955097231,0.0000514186779458729
1283299200,0.062,0.06227781,0.05961,0.06227781,NaN,NaN,-0.0005331317639874785,-0.0006149960270384752,-0.00008186426305099674
1283385600,0.061,0.06313602,0.0601,0.06313602,NaN,NaN,-0.0004438003529009486,-0.0006366147041771825,-0.00019281435127623388
1283472000,0.061,0.063,0.06085,0.06085,NaN,NaN,-0.0005086750114294459,-0.0008286581155630413,-0.00031998310413359533
1283558400,0.06125,0.06238,0.0612,0.06238,NaN,NaN,-0.0004221133553973618,-0.0008476247983802976,-0.00042551144298293576
1283644800,0.06245,0.06316285,0.06076317,0.06163975,NaN,NaN,-0.000389092025813561,-0.000911876475249887,-0.000522784449436326
1283731200,0.0627,0.0627,0.0616,0.0616,NaN,NaN,-0.00034576867532467085,-0.0009549952935921646,-0.0006092266182674938
1283817600,0.0616,0.062,0.0603,0.06114682,NaN,NaN,-0.00032385535933610315,-0.0010140458174376227,-0.0006901904581015195
1283904000,0.061,0.06126644,0.061,0.06126644,NaN,NaN,-0.0002792172807173165,-0.0010392120589981652,-0.0007599947782808487
1283990400,0.0611,0.0624,0.06109,0.06111,NaN,NaN,-0.0002396568745867473,-0.0010595658715142828,-0.0008199089969275355
1284076800,0.061,0.0618,0.06014,0.0618,NaN,NaN,-0.0001507888272041563,-0.0010083950309327308,-0.0008576062037285745
1284163200,0.0619,0.06448834,0.0619,0.06366,NaN,NaN,0.00003933602948148643,-0.0008084361668767165,-0.0008477721963582029
1284249600,0.06162289,0.0621,0.0615,0.0615,NaN,NaN,0.000026323370098939747,-0.0008148679837345282,-0.000841191353833468
1284336000,0.06199063,0.064,0.0608,0.06218242,NaN,NaN,0.00006800680388323083,-0.0007561828489794295,-0.0008241896528626603
1284422400,0.062,0.175,0.0610051,0.06199,NaN,NaN,0.00008580232847085008,-0.0007169367422740977,-0.0008027390707449478
1284508800,0.0625,0.0625,0.0604,0.0604,NaN,NaN,-0.0000016933479057960627,-0.0008048557556271929,-0.0008031624077213969
1284595200,0.06187479,0.06187479,0.06187479,0.06187479,NaN,NaN,0.00004499475609223897,-0.0007469189626060982,-0.0007919137186983372
1284681600,0.06089,0.0609,0.05979769,0.05979769,NaN,NaN,-0.00005343668759065067,-0.0008587095781866505,-0.0008052728905959998
1284768000,0.059,0.061,0.05812714,0.061,NaN,NaN,-0.000028260235478568723,-0.0008405981849442107,-0.000812337949465642
1284854400,0.06091,0.0627,0.06,0.0627,NaN,NaN,0.00010489728371160852,-0.0006812163448261313,-0.0007861136285377398
1284940800,0.062025,0.06338125,0.062,0.0621,NaN,NaN,0.0001517351977083851,-0.0005964446314022584,-0.0007481798291106435
1285027200,0.06309958,0.0633,0.0623,0.06265,NaN,NaN,0.00021505881279274051,-0.0004793563131197179,-0.0006944151259124584
1285113600,0.06230075,0.06230075,0.06148457,0.06200081,NaN,NaN,0.00020837615058787499,-0.0004339449376776147,-0.0006423210882654897
1285200000,0.0621,0.06289997,0.0615932,0.06231,NaN,NaN,0.00021885186747266623,-0.00036875625392465694,-0.0005876081213973232
1285286400,0.06209,0.0623723,0.06209,0.0622,NaN,NaN,0.00021228243539752928,-0.0003222550771504115,-0.0005345375125479408
1285372800,0.062215,0.06236,0.061724,0.06202,NaN,NaN,0.00019042274358074628,-0.00029650908307200796,-0.00048693182665275424
1285459200,0.06204,0.06220953,0.06186,0.06202171,NaN,NaN,0.000171287630087051,-0.0002728222890439405,-0.0004441099191309915
1285545600,0.06200536,0.06228,0.06195,0.06220093,NaN,NaN,0.00016580119811839813,-0.00023685842148299385,-0.000402659619601392
1285632000,0.06196,0.0621705,0.06171,0.06190867,NaN,NaN,0.00013869045653504102,-0.00022929654893259072,-0.00036798700546763173
1285718400,0.062,0.062,0.06151504,0.06190043,NaN,NaN,0.00011725659576271449,-0.00022141626076423865,-0.00033867285652695314
1285804800,0.06174,0.0619,0.06158559,0.0619,NaN,NaN,0.00010073565675685183,-0.00021275328558088835,-0.0003134889423377402
1285891200,0.06189,0.062,0.06189,0.06197,NaN,NaN,0.0000924251779815397,-0.00019795746986081553,-0.0002903826478423552
1285977600,0.06188,0.06189,0.06129,0.0614,NaN,NaN,0.000048642545125882313,-0.00022957946643500232,-0.00027822201156088464
1286064000,0.06139993,0.0614,0.06100278,0.06111,NaN,NaN,0.00000267989093338713,-0.0002748721478941507,-0.00027755203882753784
1286150400,0.06136169,0.06191,0.06084,0.06129983,NaN,NaN,-0.000011624198500443576,-0.0002920822869530923,-0.0002804580884526487
1286236800,0.06139937,0.06299152,0.06094774,0.0614,NaN,NaN,-0.000011030866705527586,-0.0002942466718345582,-0.00028321580512903063
1286323200,0.06148946,0.06349147,0.06148946,0.06281139,NaN,NaN,0.00008257291539895515,-0.0001799996608803367,-0.00026257257627929184
1286409600,0.06309837,0.067,0.06281185,0.067,NaN,NaN,0.0004066144728455132,0.00024569551477759966,-0.00016091895806791354
1286496000,0.067,0.08799161,0.01,0.08356426,NaN,NaN,0.0016469614842520637,0.001897782897247166,0.0002508214129951024
1286582400,0.08319263,0.102,0.0700071,0.0938,NaN,NaN,0.0029889848423079674,0.003987052465880062,0.0009980676235720942
1286668800,0.093,0.1301,0.08281871,0.0965,NaN,NaN,0.003836660059625347,0.005793892698103778,0.001957232638478431
1286755200,0.091,0.10043667,0.091,0.095,NaN,NaN,0.004053272191447528,0.007023822877787841,0.002970550686340313
1286841600,0.094,0.0979989,0.083005,0.0949,NaN,NaN,0.0039430975432479705,0.007899422615400276,0.003956325072152305
1286928000,0.092,0.105,0.092,0.105,NaN,NaN,0.004275827863388851,0.009301109901388369,0.0050252820379995174
1287014400,0.1045,0.1045,0.09781739,0.102,NaN,NaN,0.004022963291374722,0.01005398615221792,0.0060310228608431975
1287100800,0.1,0.1171692,0.09508294,0.105,NaN,NaN,0.003790051600323153,0.01076858736124714,0.006978535760923986
1287187200,0.1,0.10299,0.1,0.101,NaN,NaN,0.0031264936632512163,0.010886652839988006,0.00776015917673679
1287273600,0.102,0.1045,0.10001,0.102,NaN,NaN,0.002539762213321854,0.010934861943389107,0.008395099730067253
1287360000,0.103,0.103,0.09968111,0.1024,NaN,NaN,0.0019878623191742877,0.010879927629035113,0.008892065309860826
1287446400,0.1,0.1018,0.09706246,0.09706246,NaN,NaN,0.001116038534624917,0.010287113478141971,0.009171074943517054
1287532800,0.0985,0.10180516,0.094,0.099,NaN,NaN,0.000551130029048821,0.00985998747982808,0.00930885745077926
1287619200,0.0972,0.107,0.0971,0.107,NaN,NaN,0.0005938394090951576,0.010051156712148207,0.00945731730305305
1287705600,0.1015,0.109,0.1015,0.10378125,NaN,NaN,0.000297845115970018,0.009829623698015572,0.009531778582045554
1287792000,0.10892846,0.109,0.104995,0.104995,NaN,NaN,0.00008726737783916298,0.009640862804344508,0.009553595426505345
1287878400,0.108,0.19,0.108,0.11501,NaN,NaN,0.0005027422282498743,0.010182023211817687,0.009679280983567812
1287964800,0.10499663,0.1707151,0.09009,0.132,NaN,NaN,0.0017328171882018371,0.01184530246882011,0.010112485280618273
1288051200,0.133,0.179,0.133,0.1503,NaN,NaN,0.00348863685210081,0.014473281345744285,0.010984644493643475
1288137600,0.151,0.19,0.151,0.1877,NaN,NaN,0.0066929062127830345,0.019350777259622268,0.012657871046839233
1288224000,0.1845,0.19004863,0.1731,0.1731,NaN,NaN,0.007303289681971066,0.021786983149303066,0.014483693467332
1288310400,0.17991525,0.19,0.173,0.19,NaN,NaN,0.008249489151992806,0.024795554907323006,0.0165460657553302
1288396800,0.1875438,0.1989,0.1875438,0.1989,NaN,NaN,0.008827226680742262,0.027580099106258027,0.018752872425515765
1288483200,0.194,0.1989,0.189,0.1925,NaN,NaN,0.008147204155493172,0.02893687761988223,0.020789673464389057
1288569600,0.1925,0.1951,0.17493601,0.19490179,NaN,NaN,0.007257630448650115,0.0298617115252017,0.022604081076551586
1288656000,0.192,0.1938,0.1905,0.1938,NaN,NaN,0.0060432151460700564,0.030158100009139155,0.0241148848630691
1288742400,0.19389309,0.26425961,0.13,0.1931,NaN,NaN,0.004700724670807593,0.02999079070157859,0.025290066030770997
1288828800,0.19889482,0.23601,0.1934,0.23,NaN,NaN,0.005737164984770348,0.03246152226173393,0.026724357276963585
1288915200,0.2101,0.26039,0.2101,0.26039,NaN,NaN,0.007781811965014648,0.036451622233231895,0.028669810268217247
1289001600,0.262,0.49,0.24031,0.38,NaN,NaN,0.01602727522039693,0.04870390429371341,0.03267662907331648
1289088000,0.43436256,0.4399,0.3002,0.34,NaN,NaN,0.017504582454283504,0.054557357141170854,0.03705277468688735
1289174400,0.3459,0.36796109,0.24243853,0.243,NaN,NaN,0.010984794406700006,0.050783767695262355,0.03979897328856235
1289260800,0.251,0.32297265,0.2,0.21568652,NaN,NaN,0.0042165543666001365,0.04506966624681252,0.04085311188021239
1289347200,0.21000625,0.235271,0.14045455,0.23266833,NaN,NaN,0.0004646033033975788,0.041433866009459364,0.040969262706061785
1289433600,0.2299,0.24,0.21300769,0.2231,NaN,NaN,-0.002895539623515443,0.03734983817666748,0.040245377800182926
1289520000,0.2289,0.27973381,0.22301423,0.2682,NaN,NaN,-0.0023385559306629278,0.037322182886854266,0.039660738817517194
